feedback,sentiment,timestamp,department,patient_age_group,visit_type
Got seen right away.,2,2024-01-29 11:26:59.450190,Oncology,46-60,Procedure
"The treatment was okay. Additionally, Waited as expected. Additionally, Regular interaction with the doctor.",1,2024-01-29 11:26:59.450308,General Medicine,18-30,Follow-up
Normal wait times.,1,2024-01-29 11:26:59.450710,Emergency,18-30,Follow-up
Excellent facilities.,2,2024-01-29 11:26:59.451050,Cardiology,61-75,Follow-up
"The medical team was extremely professional and caring. Moreover, No delays in the appointment.",2,2024-01-29 11:26:59.451506,Cardiology,46-60,Follow-up
The wait was reasonable.,1,2024-01-29 11:26:59.451699,General Medicine,31-45,Follow-up
healthcare provider did their job as expected. Basic but functional facility.,1,2024-01-29 11:26:59.451877,General Medicine,75+,Follow-up
The facility needs updating! Poor treatment experience.,0,2024-01-29 11:26:59.454103,Oncology,46-60,Follow-up
"The staff member took time to explain everything clearly. Moreover, The facility was clean and modern. Moreover, Completely satisfied with the care received.",2,2024-01-29 11:26:59.455506,Cardiology,61-75,Consultation
Well-maintained hospital environment.,2,2024-01-29 11:26:59.457846,Obstetrics,75+,Routine Checkup
Very effective treatment.,2,2024-01-29 11:26:59.464575,General Medicine,61-75,Routine Checkup
"Got seen right away. Moreover, Excellent facilities. Moreover, The nurse was extremely professional and caring.",2,2024-01-29 11:26:59.465211,Cardiology,18-30,Routine Checkup
Had to wait too long.,0,2024-01-29 11:26:59.465455,Neurology,75+,Follow-up
Very efficient process.,2,2024-01-29 11:26:59.465465,Orthopedics,61-75,Routine Checkup
"Great outcome from the treatment. Moreover, The facility was clean and modern.",2,2024-01-29 11:26:59.468646,Obstetrics,75+,Routine Checkup
Unsatisfactory treatment outcome! The surgeon didn't address my concerns.,0,2024-01-29 11:26:59.470457,Obstetrics,61-75,Procedure
Completely satisfied with the care received.,2,2024-01-29 11:26:59.474147,Emergency,46-60,Emergency
The doctor seemed rushed and inattentive.,0,2024-01-29 11:26:59.475816,Cardiology,31-45,Emergency
Normal wait times.,1,2024-01-29 11:26:59.482835,Surgery,75+,Follow-up
"The physician seemed rushed and inattentive. Moreover, The treatment wasn't effective.",0,2024-01-29 11:26:59.486659,Pediatrics,75+,Consultation
Impressed with how quickly I was seen! Excellent treatment results.,2,2024-01-29 11:26:59.491021,Pediatrics,61-75,Follow-up
"State-of-the-art equipment. Additionally, specialist provided excellent care and attention. Additionally, Very efficient process.",2,2024-01-29 11:26:59.491343,Oncology,75+,Routine Checkup
The nurse was present when needed.,1,2024-01-29 11:26:59.491910,Obstetrics,31-45,Procedure
Regular interaction with the nurse.,1,2024-01-30 11:26:59.445377,Emergency,18-30,Procedure
Poor maintenance of the premises. Excessive waiting time.,0,2024-01-30 11:26:59.446002,Obstetrics,46-60,Routine Checkup
"The specialist was okay. Also, Standard procedure.",1,2024-01-30 11:26:59.446356,Surgery,61-75,Consultation
Excellent treatment results.,2,2024-01-30 11:26:59.447113,Cardiology,75+,Routine Checkup
No delays in the appointment.,2,2024-01-30 11:26:59.454855,Cardiology,18-30,Emergency
The receptionist was okay! Basic but functional facility! Normal wait times.,1,2024-01-30 11:26:59.456571,Obstetrics,46-60,Consultation
Treatment was as expected! Basic but functional facility.,1,2024-01-30 11:26:59.458817,Surgery,31-45,Procedure
Standard hospital environment.,1,2024-01-30 11:26:59.461190,Oncology,31-45,Emergency
Cleanliness issues in the facility.,0,2024-01-30 11:26:59.462019,General Medicine,75+,Routine Checkup
The treatment wasn't effective.,0,2024-01-30 11:26:59.464138,Pediatrics,61-75,Emergency
"Very efficient process. Moreover, Completely satisfied with the care received.",2,2024-01-30 11:26:59.467660,Emergency,75+,Consultation
"Minimal waiting time. Moreover, The receptionist took time to explain everything clearly.",2,2024-01-30 11:26:59.469576,Cardiology,75+,Emergency
"Great outcome from the treatment. Moreover, Excellent facilities.",2,2024-01-30 11:26:59.470506,General Medicine,61-75,Consultation
"The nurse didn't address my concerns. Additionally, The waiting time was frustrating. Additionally, Uncomfortable environment.",0,2024-01-30 11:26:59.472735,Cardiology,75+,Emergency
Average waiting time.,1,2024-01-30 11:26:59.474758,Oncology,61-75,Consultation
The surgeon was extremely professional and caring.,2,2024-01-30 11:26:59.475404,Cardiology,75+,Routine Checkup
Unsatisfactory treatment outcome.,0,2024-01-30 11:26:59.476380,Orthopedics,18-30,Emergency
"The medical team was extremely professional and caring. Additionally, Excellent facilities. Additionally, Very efficient process.",2,2024-01-30 11:26:59.478845,Obstetrics,46-60,Routine Checkup
"Unsatisfactory treatment outcome. Moreover, Unacceptable delays. Moreover, The care team seemed rushed and inattentive.",0,2024-01-30 11:26:59.480630,Emergency,18-30,Follow-up
"Standard hospital environment. Additionally, The treatment was okay.",1,2024-01-30 11:26:59.484692,Obstetrics,75+,Consultation
Average waiting time.,1,2024-01-30 11:26:59.485825,Pediatrics,75+,Procedure
Acceptable cleanliness! care team did their job as expected! Average waiting time.,1,2024-01-30 11:26:59.488109,Cardiology,18-30,Emergency
"Cleanliness issues in the facility. Moreover, Not happy with the results.",0,2024-01-30 11:26:59.488576,Orthopedics,46-60,Follow-up
Very effective treatment.,2,2024-01-30 11:26:59.491330,Obstetrics,61-75,Emergency
"Well-maintained hospital environment. Also, Very effective treatment. Also, The care team was extremely professional and caring.",2,2024-01-30 11:26:59.492005,Emergency,31-45,Procedure
Treatment was as expected.,1,2024-01-30 11:26:59.492588,Obstetrics,46-60,Routine Checkup
"No delays in the appointment. Additionally, Exceptional service from the medical team.",2,2024-01-31 11:26:59.444532,Surgery,18-30,Procedure
Average waiting time! The healthcare provider was present when needed! Basic but functional facility.,1,2024-01-31 11:26:59.446591,Cardiology,31-45,Emergency
"Minimal waiting time. Additionally, Completely satisfied with the care received. Additionally, Excellent facilities.",2,2024-01-31 11:26:59.450045,Oncology,31-45,Follow-up
Very comfortable environment! Got seen right away! Very impressed with the medical team's expertise.,2,2024-01-31 11:26:59.452007,General Medicine,75+,Emergency
"Excellent facilities. Moreover, Very impressed with the doctor's expertise. Moreover, Excellent treatment results.",2,2024-01-31 11:26:59.454777,Emergency,75+,Emergency
Very comfortable environment.,2,2024-01-31 11:26:59.455594,General Medicine,46-60,Follow-up
The facility needs updating. The healthcare provider didn't address my concerns.,0,2024-01-31 11:26:59.456353,Emergency,61-75,Emergency
"Completely satisfied with the care received. Also, Excellent facilities.",2,2024-01-31 11:26:59.456505,Emergency,46-60,Follow-up
The physician was extremely professional and caring.,2,2024-01-31 11:26:59.456615,Cardiology,46-60,Emergency
Spent hours waiting.,0,2024-01-31 11:26:59.458135,Cardiology,61-75,Emergency
The procedure went very well.,2,2024-01-31 11:26:59.460669,Pediatrics,18-30,Procedure
"Very impressed with the doctor's expertise. Also, Minimal waiting time. Also, The facility was clean and modern.",2,2024-01-31 11:26:59.461133,Pediatrics,61-75,Emergency
"The procedure didn't help much. Also, Spent hours waiting. Also, Poor communication from the healthcare provider.",0,2024-01-31 11:26:59.461139,Neurology,61-75,Procedure
"The surgeon didn't address my concerns. Also, Spent hours waiting. Also, Poor treatment experience.",0,2024-01-31 11:26:59.463566,Surgery,46-60,Follow-up
The treatment wasn't effective. The receptionist was not very helpful.,0,2024-01-31 11:26:59.463590,Surgery,31-45,Consultation
Spent hours waiting.,0,2024-01-31 11:26:59.463912,General Medicine,61-75,Follow-up
"Impressed with how quickly I was seen. Moreover, State-of-the-art equipment.",2,2024-01-31 11:26:59.466200,General Medicine,18-30,Emergency
"Treatment was as expected. Also, Average waiting time. Also, medical team did their job as expected.",1,2024-01-31 11:26:59.469814,Surgery,75+,Consultation
The treatment wasn't effective! The care team was not very helpful.,0,2024-01-31 11:26:59.471164,Cardiology,46-60,Emergency
Unsatisfactory treatment outcome.,0,2024-01-31 11:26:59.474846,Cardiology,31-45,Follow-up
"The nurse was not very helpful. Also, Uncomfortable environment.",0,2024-01-31 11:26:59.476533,Obstetrics,61-75,Follow-up
"nurse did their job as expected. Additionally, Average waiting time. Additionally, Basic but functional facility.",1,2024-01-31 11:26:59.480481,Cardiology,18-30,Consultation
Unacceptable delays.,0,2024-01-31 11:26:59.481304,General Medicine,61-75,Routine Checkup
"Regular facility conditions. Moreover, The specialist was present when needed. Moreover, Normal wait times.",1,2024-01-31 11:26:59.486038,Cardiology,18-30,Consultation
Basic but functional facility! staff member did their job as expected! Waited as expected.,1,2024-01-31 11:26:59.486481,Pediatrics,18-30,Consultation
"medical team provided excellent care and attention. Moreover, Got seen right away. Moreover, Very comfortable environment.",2,2024-01-31 11:26:59.489639,Emergency,75+,Procedure
Unacceptable delays. The care team didn't address my concerns.,0,2024-01-31 11:26:59.489699,General Medicine,31-45,Procedure
care team did their job as expected.,1,2024-01-31 11:26:59.491439,Neurology,31-45,Consultation
"The specialist was present when needed. Additionally, Regular treatment process.",1,2024-02-01 11:26:59.445152,Orthopedics,61-75,Emergency
"Completely satisfied with the care received. Also, Got seen right away.",2,2024-02-01 11:26:59.446931,Oncology,61-75,Emergency
The receptionist seemed rushed and inattentive.,0,2024-02-01 11:26:59.448254,General Medicine,18-30,Routine Checkup
Impressed with how quickly I was seen.,2,2024-02-01 11:26:59.451449,Obstetrics,46-60,Procedure
Average waiting time. The care team was present when needed. Regular treatment process.,1,2024-02-01 11:26:59.451531,Emergency,61-75,Follow-up
The treatment wasn't effective.,0,2024-02-01 11:26:59.452153,Pediatrics,75+,Routine Checkup
"Unsatisfactory treatment outcome. Also, Uncomfortable environment. Also, The doctor was not very helpful.",0,2024-02-01 11:26:59.454834,Pediatrics,31-45,Consultation
No delays in the appointment.,2,2024-02-01 11:26:59.455887,Pediatrics,46-60,Follow-up
Not happy with the results. Poor maintenance of the premises. Poor communication from the specialist.,0,2024-02-01 11:26:59.457645,Obstetrics,18-30,Consultation
surgeon did their job as expected.,1,2024-02-01 11:26:59.461299,Emergency,31-45,Consultation
"The treatment wasn't effective. Moreover, Excessive waiting time.",0,2024-02-01 11:26:59.461480,Pediatrics,61-75,Emergency
"Poor communication from the surgeon. Also, Spent hours waiting.",0,2024-02-01 11:26:59.462853,Obstetrics,31-45,Follow-up
"Poor treatment experience. Moreover, Unacceptable delays. Moreover, Cleanliness issues in the facility.",0,2024-02-01 11:26:59.467203,Surgery,18-30,Follow-up
